Pos	Length
0	52
1	51
2	50
3	49
4	48
5	47
6	46
7	45
8	44
9	43
10	42
11	41
12	40
13	39
14	38
15	37
16	36
17	35
18	34
19	33
20	32
21	31
22	30
23	29
24	28
25	27
26	26
27	25
28	24
29	23
30	22
31	21
32	20
33	19
34	18
35	17
36	16
37	15
38	14
39	13
40	12
41	11
42	10
43	9
44	8
45	7
46	6
47	6
48	5
49	7
50	33
51	32
52	31
53	30
54	29
55	28
56	27
57	26
58	25
59	24
60	23
61	22
62	21
63	20
64	19
65	18
66	17
67	16
68	15
69	14
70	13
71	12
72	11
73	10
74	9
75	8
76	8
77	7
78	7
79	23
80	22
81	21
82	20
83	19
84	18
85	17
86	16
87	15
88	14
89	13
90	12
91	11
92	10
93	9
94	8
95	7
96	6
97	5
98	6
99	5
100	19
101	18
102	17
103	16
104	15
105	14
106	13
107	12
108	13
109	564
110	563
111	562
112	561
113	560
114	559
115	558
116	557
117	556
118	555
119	554
120	553
121	552
122	551
123	550
124	549
125	548
126	547
127	546
128	545
129	544
130	543
131	542
132	541
133	540
134	539
135	538
136	537
137	536
138	535
139	534
140	533
141	532
142	531
143	530
144	529
145	528
146	527
147	526
148	525
149	524
150	523
151	522
152	521
153	520
154	519
155	518
156	517
157	516
158	515
159	514
160	513
161	512
162	511
163	510
164	509
165	508
166	507
167	506
168	505
169	504
170	503
171	502
172	501
173	500
174	499
175	498
176	497
177	496
178	495
179	494
180	493
181	492
182	491
183	490
184	489
185	488
186	487
187	486
188	485
189	484
190	483
191	482
192	481
193	480
194	479
195	478
196	477
197	476
198	475
199	474
200	473
201	472
202	471
203	470
204	469
205	468
206	467
207	466
208	465
209	464
210	463
211	462
212	461
213	460
214	459
215	458
216	457
217	456
218	455
219	454
220	453
221	452
222	451
223	450
224	449
225	448
226	447
227	446
228	445
229	444
230	443
231	442
232	441
233	440
234	439
235	438
236	437
237	436
238	435
239	434
240	433
241	432
242	431
243	430
244	429
245	428
246	427
247	426
248	425
249	424
250	423
251	422
252	421
253	420
254	419
255	418
256	417
257	416
258	415
259	414
260	413
261	412
262	411
263	410
264	409
265	408
266	407
267	406
268	405
269	404
270	403
271	402
272	401
273	400
274	399
275	398
276	397
277	396
278	395
279	394
280	393
281	392
282	391
283	390
284	389
285	388
286	387
287	386
288	385
289	566
290	565
291	564
292	563
293	562
294	561
295	560
296	559
297	558
298	557
299	556
300	555
301	554
302	553
303	552
304	551
305	550
306	549
307	548
308	547
309	546
310	545
311	544
312	543
313	542
314	541
315	540
316	539
317	538
318	537
319	536
320	535
321	534
322	533
323	532
324	531
325	530
326	529
327	528
328	527
329	526
330	525
331	524
332	523
333	522
334	521
335	520
336	519
337	518
338	517
339	516
340	515
341	514
342	513
343	512
344	511
345	510
346	509
347	508
348	507
349	506
350	505
351	504
352	503
353	502
354	501
355	500
356	499
357	498
358	497
359	496
360	495
361	494
362	493
363	492
364	491
365	490
366	489
367	488
368	487
369	486
370	485
371	484
372	483
373	482
374	481
375	480
376	479
377	478
378	477
379	476
380	475
381	474
382	473
383	472
384	471
385	470
386	469
387	468
388	467
389	466
390	465
391	464
392	463
393	462
394	461
395	460
396	459
397	458
398	457
399	456
400	455
401	454
402	453
403	452
404	451
405	450
406	449
407	448
408	447
409	446
410	445
411	444
412	443
413	442
414	441
415	440
416	439
417	438
418	437
419	436
420	435
421	434
422	433
423	432
424	431
425	430
426	429
427	428
428	427
429	426
430	425
431	424
432	423
433	422
434	421
435	420
436	419
437	418
438	417
439	416
440	415
441	414
442	413
443	412
444	411
445	410
446	409
447	408
448	407
449	406
450	405
451	404
452	403
453	402
454	401
455	400
456	399
457	398
458	397
459	396
460	395
461	394
462	393
463	392
464	391
465	390
466	389
467	388
468	387
469	386
470	385
471	384
472	383
473	382
474	381
475	380
476	379
477	378
478	377
479	376
480	375
481	374
482	373
483	372
484	371
485	370
486	369
487	368
488	367
489	366
490	365
491	364
492	363
493	362
494	361
495	360
496	359
497	358
498	357
499	356
500	355
501	354
502	353
503	352
504	664
505	663
506	662
507	661
508	660
509	659
510	658
511	657
512	656
513	655
514	654
515	653
516	652
517	651
518	650
519	649
520	648
521	647
522	646
523	645
524	644
525	643
526	642
527	641
528	640
529	639
530	638
531	637
532	636
533	635
534	634
535	633
536	632
537	631
538	630
539	629
540	628
541	627
542	626
543	625
544	624
545	623
546	622
547	621
548	620
549	619
550	618
551	617
552	616
553	615
554	614
555	613
556	612
557	611
558	610
559	609
560	608
561	607
562	606
563	605
564	604
565	603
566	602
567	601
568	600
569	599
570	598
571	597
572	596
573	595
574	594
575	593
576	592
577	591
578	590
579	589
580	588
581	587
582	586
583	585
584	584
585	583
586	582
587	581
588	580
589	579
590	578
591	577
592	576
593	575
594	574
595	573
596	572
597	571
598	570
599	569
600	568
601	567
602	566
603	565
604	564
605	563
606	562
607	561
608	560
609	559
610	558
611	557
612	556
613	555
614	554
615	553
616	552
617	551
618	550
619	549
620	548
621	547
622	546
623	545
624	544
625	543
626	542
627	541
628	540
629	539
630	538
631	537
632	536
633	535
634	534
635	533
636	532
637	531
638	530
639	529
640	528
641	527
642	526
643	525
644	524
645	523
646	522
647	521
648	520
649	519
650	518
651	517
652	516
653	515
654	514
655	513
656	512
657	511
658	510
659	509
660	508
661	507
662	506
663	505
664	504
665	503
666	502
667	501
668	500
669	499
670	498
671	497
672	496
673	495
674	494
675	493
676	492
677	491
678	490
679	489
680	488
681	487
682	486
683	485
684	484
